English (en)	Dutch (nl) Annaïs	PoS-tag (Penn Treebank)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
absent	afwezig	JJ (Adjective)	0	1	0	0	0	0	0	1	0	0
absentee	afwezige	NN (Noun, singular or mass)	0	1	0	0	0	0	0	1	0	0
absenteeism	absenteïsme	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
absinthe	absint	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
absolute	absoluut	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
absolution	absolutie	NN (Noun, singular or mass)	1	0	0	0	0	0	1	0	0	1
absorbed	geabsorbeerd	VBN (Verb, past participle)	1	0	0	0	0	0	0	0	0	0
absorbent	absorberend	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
absorbing	absorberen	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
absorption	absorptie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abstain	zich onthouden	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
abstention	onthouding	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abstinence	onthouding	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abstract	abstract	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
abstraction	abstractie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
absurd	absurd	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
absurdity	absurditeit	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
abundance	overvloed	NN (Noun, singular or mass)	1	1	0	1	1	0	1	0	0	1
abundant	overvloedig	JJ (Adjective)	1	0	0	0	0	0	1	0	0	0
abuse	misbruik	NN (Noun, singular or mass)	0	1	1	0	1	1	0	1	0	0
abutment	aanrakingspunt	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aby	NO TRANSLATION		0	0	0	0	0	0	0	0	0	0
abysmal	rampzalig	JJ (Adjective)	0	1	0	0	0	0	0	1	0	0
abyss	afgrond	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	0	0
academic	academische	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
academy	academie	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
accede	toetreden	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
accelerate	versnellen	VB (Verb, base form)	0	0	0	1	0	0	0	0	0	0
acceleration	versnelling	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accent	accent	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accentuate	accentueren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
accept	aanvaarden	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
acceptable	aanvaardbaar	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
acceptance	aanvaarding	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
access	toegang	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accessible	beschikbaar	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
accession	toetreding	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accessory	medeplichtig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
accident	ongeval	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	1	0
accidental	onopzettelijk	JJ (Adjective)	0	1	0	0	0	1	0	0	1	0
accidentally	per ongeluk	RB (Adverb)	0	0	0	0	0	0	0	0	1	0
accolade	accolade	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	1	1
accommodate	accommoderen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
accommodation	accommodatie	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
accompaniment	begeleiding	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
accompany	begeleiden	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
accompanying	begeleidend	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
accomplice	medeplichtige	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accomplish	bereiken	VB (Verb, base form)	1	0	0	0	0	0	1	0	0	0
accomplished	volbracht	VBN (Verb, past participle)	1	0	0	0	0	0	1	0	0	0
accomplishment	prestatie	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
accord	overeenstemming	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
accordance	overeenstemming	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accordion	accordeon	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
account	account	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
accountability	verantwoording	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
accountable	verantwoordelijk	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
accountant	accountant	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
accounting	boekhouding	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accounts	rekeningen	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	1
accredited	geaccrediteerd	VBN (Verb, past participle)	1	0	0	0	0	0	0	0	0	1
accretion	aanwas	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accrue	toenemen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
accueil	NO TRANSLATION	FW (Foreign word)	1	0	0	0	0	0	0	0	0	0
accumulate	accumuleren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
accumulation	ophoping	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accuracy	nauwkeurigheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
accurate	accuraat	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
accursed	vervloekt	VBN (Verb, past participle)	0	1	1	0	0	1	0	1	0	0
accusation	beschuldiging	NN (Noun, singular or mass)	0	1	1	0	1	0	0	0	0	0
accusative	accusatief	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
accused	verdachte	NN (Noun, singular or mass)	0	1	1	0	0	1	0	0	0	0
accuser	aanklager	NN (Noun, singular or mass)	0	1	1	0	0	1	0	0	0	0
accusing	beschuldigen	VBG (Verb, gerund or present participle)	0	1	1	0	0	1	0	0	0	0
accustomed	gebruikelijk	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
ace	aas	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
acetic	azijnzuur	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
ache	pijn	NN (Noun, singular or mass)	0	1	0	0	0	0	0	1	0	0
achieve	bereiken	VB (Verb, base form)	1	0	0	0	0	0	1	0	0	1
achievement	prestatie	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
aching	pijnlijke	VBG (Verb, gerund or present participle)	0	1	0	0	0	0	0	1	0	0
acid	zuur	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
acidity	zuurheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acknowledge	erkennen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
acknowledged	erkend	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
acknowledgment	erkenning	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
acme	toppunt	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acoustic	akoestisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
acoustics	akoestiek	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
acquaint	bekend maken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
acquaintance	kennis	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acquainted	kennis gemaakt	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
acquiescence	berusting	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acquire	verkrijgen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
acquiring	verwerving	NN (Noun, singular or mass)	1	0	0	1	0	0	0	0	0	0
acquisition	acquisitie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acquisitions	overnames	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
acreage	oppervlakte	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acres	acres	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
acrobat	acrobaat	NN (Noun, singular or mass)	1	0	0	0	0	1	1	0	0	1
act	handelen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
acting	acteren	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
action	actie	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
actionable	actiegericht	JJ (Adjective)	0	1	1	0	1	0	0	0	0	0
active	actief	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
activity	activiteit	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
actor	acteur	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
actual	werkelijk	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
actuality	actualiteit	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
actuary	actuaris	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acuity	scherpheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
acumen	scherpzinnigheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
acupuncture	acupunctuur	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
acutely	acuut	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
adage	gezegde	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adamant	onvermurwbaar	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
adapt	zich aanpassen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
adaptable	aanpasbaar	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
add	toevoegen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
added	toegevoegd	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
addendum	bijvoegsel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adder	adder	NN (Noun, singular or mass)	0	1	1	0	1	1	0	1	0	0
addiction	verslaving	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
addition	toevoeging	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
additional	extra	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
additive	toevoeging	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
address	adres	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
addressee	geadresseerde	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
addresses	adressen	NNS (Noun, plural)	1	0	0	1	0	0	0	0	0	0
adept	bedreven	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
adequacy	toereikendheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
adequate	voldoende	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
adhere	aanhangen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
adherence	aanhankelijkheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adherent	aanhanger	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adhering	hechtende	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	1
adhesion	adhesie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adhesive	zelfklevend	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
adieu	vaarwel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adipose	vet	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
adjacency	nabijheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adjacent	aangrenzend	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
adjective	bijvoeglijk naamwoord	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adjoining	aangrenzende	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
adjourn	verdagen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
adjournment	verdaging	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adjudicate	berechten	VB (Verb, base form)	0	1	0	0	0	1	0	0	0	0
adjudication	toewijzing	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adjunct	toevoegsel	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
adjust	aanpassen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
adjustment	aanpassing	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adjuvant	hulpstof	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
administer	beheren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
administration	administratie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
administrative	administratief	JJ (Adjective)	0	0	0	0	0	0	0	0	0	1
admirable	bewonderenswaardig	JJ (Adjective)	1	0	0	0	0	0	1	0	0	1
admiral	admiraal	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
admiralty	admiraliteit	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
admiration	bewondering	NN (Noun, singular or mass)	1	0	0	0	0	0	1	0	0	1
admire	bewonderen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	1
admirer	bewonderaar	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
admissibility	toelaatbaarheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
admissible	toelaatbaar	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
admission	toelating	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
admit	toegeven	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
admittance	toelating	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
admitted	toegegeven	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
admitting	toelaten	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
admixture	toevoegsel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
admonition	vermaning	NN (Noun, singular or mass)	0	1	0	0	0	1	0	0	0	0
ado	ophef	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adobe	adobe	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adolescence	adolescentie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adolescent	puber	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adopt	adopteren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
adoption	adoptie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adorable	aanbiddelijk	JJ (Adjective)	1	0	0	0	0	0	1	0	0	0
adoration	aanbidding	NN (Noun, singular or mass)	1	0	0	0	0	0	1	0	0	1
adore	dol zijn op	VB (Verb, base form)	1	0	0	1	0	0	1	0	0	1
adorn	sieren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
adornment	versiering	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adrift	drijvend	JJ (Adjective)	0	1	0	1	0	1	0	1	0	0
adult	volwassen	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
adulterated	vervalste	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
adultery	overspel	NN (Noun, singular or mass)	0	1	0	0	1	0	0	1	0	0
advance	van te voren	JJ (Adjective)	1	0	0	1	0	1	1	0	1	0
advanced	gevorderd	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
advancement	vordering	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
advancing	oprukkende	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
advantage	voordeel	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
advantageous	voordelig	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
advent	komst	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
adventure	avontuur	NN (Noun, singular or mass)	1	0	0	1	0	0	0	0	0	0
adventurer	avonturier	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adventurous	avontuurlijk	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
adversary	tegenstander	NN (Noun, singular or mass)	0	1	1	0	0	0	0	0	0	0
adverse	nadelige	JJ (Adjective)	0	1	1	0	1	1	0	1	0	0
adversity	tegenslag	NN (Noun, singular or mass)	0	1	1	0	0	1	0	1	0	0
advertise	adverteren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
advertisement	advertentie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
advice	advies	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
advisable	raadzaam	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
advise	adviseren	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	1
advised	adviseerde	VBD (Verb, past tense)	0	0	0	0	0	0	0	0	0	1
advisement	advisement	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
adviser	raadgever	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
advocacy	voorspraak	NN (Noun, singular or mass)	1	0	1	1	0	0	1	0	0	1
advocate	pleiten voor	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	1
aegis	aegis	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aeration	beluchting	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aerial	antenne	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aerodrome	vliegterrein	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aerodynamics	aërodynamica	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aeronautics	luchtvaart	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aeroplane	vliegtuig	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aesthetic	aesthetisch	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
aesthetics	schoonheidsleer	NNS (Noun, plural)	1	0	0	0	0	0	1	0	0	0
aetiology	etiologie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
afar	in de verte	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
affable	minzaam	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
affair	affaire	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
affecting	beïnvloeden	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
affection	genegenheid	NN (Noun, singular or mass)	1	0	0	0	0	0	1	0	0	1
affections	affecties	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
affiche	NO TRANSLATION	FW (Foreign word)	0	0	0	0	0	0	0	0	0	0
affidavit	beëdigde verklaring	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
affiliated	aangesloten	VBN (Verb, past participle)	1	0	0	0	0	0	0	0	0	0
affiliation	aansluiting	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
affinity	affiniteit	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
affirm	bevestigen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	1
affirmation	bevestiging	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
affirmative	bevestigend	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
affirmatively	bevestigend	RB (Adverb)	1	0	0	0	0	0	0	0	0	1
affix	affix	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
afflict	teisteren	VB (Verb, base form)	0	1	0	0	0	1	0	1	0	0
afflicted	geteisterd	VBN (Verb, past participle)	0	1	0	0	0	0	0	0	0	0
affliction	aandoening	NN (Noun, singular or mass)	0	1	0	0	1	1	0	1	0	0
affluence	rijkdom	NN (Noun, singular or mass)	1	0	0	0	0	0	1	0	0	0
affluent	zijrivier	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
afford	veroorloven	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
affront	belediging	NN (Noun, singular or mass)	0	1	1	0	1	1	0	1	1	0
afield	verder	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
afore	vroeger	IN (Preposition or subordinating conjunction)	0	0	0	0	0	0	0	0	0	0
aforementioned	voornoemd	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
aforesaid	voornoemd	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
afraid	bang	JJ (Adjective)	0	1	0	0	0	1	0	0	0	0
afresh	opnieuw	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
aft	achteruit	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
aftermath	nasleep	NN (Noun, singular or mass)	0	1	1	0	1	1	0	1	0	0
afternoon	middag	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aftertaste	nasmaak	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
afterthought	nadere overweging	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aga	aga	NN (Noun, singular or mass)	1	0	0	0	0	1	0	0	0	1
agate	agaat	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
age	leeftijd	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aged	oud	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
agency	agentschap	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
agent	agent	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
agglomeration	opeenhoping	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aggravated	verergerd	JJ (Adjective)	0	1	1	0	0	0	0	0	0	0
aggravating	verzwarend	VBG (Verb, gerund or present participle)	0	1	1	0	0	0	0	1	0	0
aggravation	verergering	NN (Noun, singular or mass)	0	1	1	0	1	0	0	0	0	0
aggregate	aggregaat	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aggregation	aggregatie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
aggression	agressie	NN (Noun, singular or mass)	0	1	1	0	0	1	0	0	0	0
aggressive	agressief	JJ (Adjective)	0	1	1	0	0	1	0	0	0	0
aggressor	agressor	NN (Noun, singular or mass)	0	1	1	0	0	1	0	0	0	0
aghast	ontzet	JJ (Adjective)	0	1	0	0	1	1	0	0	1	0
agile	behendig	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
agility	behendigheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
agitated	opgewonden	JJ (Adjective)	0	1	1	0	0	0	0	0	0	0
agitation	agitatie	NN (Noun, singular or mass)	0	1	1	0	0	0	0	0	0	0
agnostic	agnostisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
ago	geleden	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
agonizing	pijnlijke	JJ (Adjective)	0	1	0	0	0	1	0	0	0	0
agony	doodsangst	NN (Noun, singular or mass)	0	1	1	0	0	1	0	1	0	0
agree	het eens zijn	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
agreeable	aangenaam	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
agreed	Akkoord	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
agreeing	akkoord	VBG (Verb, gerund or present participle)	1	0	0	0	0	0	0	0	0	1
agreement	overeenkomst	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
agricultural	agrarisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
